binary,decimal,hex,signal,structure,role,pattern_type,symmetry,color,causality_direction
00000000,0,00,0.000,1.000,void,void,True,#ff0000,convergent
00000001,1,01,0.125,0.875,question,sparse,False,#ff5f00,convergent
00000010,2,02,0.125,0.875,question,sparse,False,#ff5f00,convergent
00000011,3,03,0.250,0.750,constraint,sparse,False,#ffbf00,convergent
00000100,4,04,0.125,0.875,question,sparse,False,#ff5f00,convergent
00000101,5,05,0.250,0.750,constraint,sparse,False,#ffbf00,convergent
00000110,6,06,0.250,0.750,constraint,sparse,False,#ffbf00,convergent
00000111,7,07,0.375,0.625,constraint,mixed,False,#dcff00,convergent
00001000,8,08,0.125,0.875,question,sparse,False,#ff5f00,convergent
00001001,9,09,0.250,0.750,constraint,sparse,False,#ffbf00,convergent
00001010,10,0a,0.250,0.750,constraint,sparse,False,#ffbf00,convergent
00001011,11,0b,0.375,0.625,constraint,mixed,False,#dcff00,convergent
00001100,12,0c,0.250,0.750,constraint,sparse,False,#ffbf00,convergent
00001101,13,0d,0.375,0.625,constraint,mixed,False,#dcff00,convergent
00001110,14,0e,0.375,0.625,constraint,mixed,False,#dcff00,convergent
00001111,15,0f,0.500,0.500,processing,balanced,False,#7bff00,balanced
00010000,16,10,0.125,0.875,question,sparse,False,#ff5f00,convergent
00010001,17,11,0.250,0.750,constraint,sparse,False,#ffbf00,convergent
00010010,18,12,0.250,0.750,constraint,sparse,False,#ffbf00,convergent
00010011,19,13,0.375,0.625,constraint,mixed,False,#dcff00,convergent
00010100,20,14,0.250,0.750,constraint,sparse,False,#ffbf00,convergent
00010101,21,15,0.375,0.625,constraint,mixed,False,#dcff00,convergent
00010110,22,16,0.375,0.625,constraint,mixed,False,#dcff00,convergent
00010111,23,17,0.500,0.500,processing,balanced,False,#7bff00,balanced
00011000,24,18,0.250,0.750,constraint,palindrome,True,#ffbf00,convergent
00011001,25,19,0.375,0.625,constraint,mixed,False,#dcff00,convergent
00011010,26,1a,0.375,0.625,constraint,mixed,False,#dcff00,convergent
00011011,27,1b,0.500,0.500,processing,balanced,False,#7bff00,balanced
00011100,28,1c,0.375,0.625,constraint,mixed,False,#dcff00,convergent
00011101,29,1d,0.500,0.500,processing,balanced,False,#7bff00,balanced
00011110,30,1e,0.500,0.500,processing,balanced,False,#7bff00,balanced
00011111,31,1f,0.625,0.375,processing,mixed,False,#1bff00,divergent
00100000,32,20,0.125,0.875,question,sparse,False,#ff5f00,convergent
00100001,33,21,0.250,0.750,constraint,sparse,False,#ffbf00,convergent
00100010,34,22,0.250,0.750,constraint,sparse,False,#ffbf00,convergent
00100011,35,23,0.375,0.625,constraint,mixed,False,#dcff00,convergent
00100100,36,24,0.250,0.750,constraint,palindrome,True,#ffbf00,convergent
00100101,37,25,0.375,0.625,constraint,mixed,False,#dcff00,convergent
00100110,38,26,0.375,0.625,constraint,mixed,False,#dcff00,convergent
00100111,39,27,0.500,0.500,processing,balanced,False,#7bff00,balanced
00101000,40,28,0.250,0.750,constraint,sparse,False,#ffbf00,convergent
00101001,41,29,0.375,0.625,constraint,mixed,False,#dcff00,convergent
00101010,42,2a,0.375,0.625,constraint,mixed,False,#dcff00,convergent
00101011,43,2b,0.500,0.500,processing,balanced,False,#7bff00,balanced
00101100,44,2c,0.375,0.625,constraint,mixed,False,#dcff00,convergent
00101101,45,2d,0.500,0.500,processing,balanced,False,#7bff00,balanced
00101110,46,2e,0.500,0.500,processing,balanced,False,#7bff00,balanced
00101111,47,2f,0.625,0.375,processing,mixed,False,#1bff00,divergent
00110000,48,30,0.250,0.750,constraint,sparse,False,#ffbf00,convergent
